report_date,source_file,status,error_message,run_at
2020-01-01,SOKUHO 2020.01.01.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.01.pdf: ALL 17 STORES, Rainbow Market, Temporary Stall",2026-03-30 12:09:10.740000
2020-01-02,SOKUHO 2020.01.02.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.02.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:09:11.073333
2020-01-03,SOKUHO 2020.01.03.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.03.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:09:11.403333
2020-01-04,SOKUHO 2020.01.04.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.04.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:09:11.716666
2020-01-05,SOKUHO 2020.01.05.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.05.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:09:12.033333
2020-01-06,SOKUHO 2020.01.06.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.06.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:09:12.383333
2020-01-07,SOKUHO 2020.01.07.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.07.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:09:12.713333
2020-01-08,SOKUHO 2020.01.08.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.08.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:09:13.033333
2020-01-09,SOKUHO 2020.01.09.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.09.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:09:13.370000
2020-01-10,SOKUHO 2020.01.10.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.10.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:09:13.713333
2020-01-11,SOKUHO 2020.01.11.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.11.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:09:14.060000
2020-01-12,SOKUHO 2020.01.12.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.12.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:09:14.393333
2020-01-13,SOKUHO 2020.01.13.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.13.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:09:14.710000
2020-01-14,SOKUHO 2020.01.14.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.14.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:09:15.050000
2020-01-15,SOKUHO 2020.01.15.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.15.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:09:15.376666
2020-01-16,SOKUHO 2020.01.16.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.16.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:09:15.723333
2020-01-17,SOKUHO 2020.01.17.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.17.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:09:16.030000
2020-01-18,SOKUHO 2020.01.18.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.18.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:09:16.370000
2020-01-19,SOKUHO 2020.01.19.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.19.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:09:16.720000
2020-01-20,SOKUHO 2020.01.20.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.20.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:09:17.090000
2020-01-21,SOKUHO 2020.01.21.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.21.pdf: Rainbow Market, Taipei 101, Temporary Stall",2026-03-30 12:09:17.433333
2020-01-22,SOKUHO 2020.01.22.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.22.pdf: Rainbow Market, Taipei 101, Temporary Stall",2026-03-30 12:09:17.800000
2020-01-23,SOKUHO 2020.01.23.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.23.pdf: Rainbow Market, Taipei 101, Temporary Stall",2026-03-30 12:09:18.163333
2020-01-24,SOKUHO 2020.01.24.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.24.pdf: Rainbow Market, Taipei 101, Temporary Stall",2026-03-30 12:09:18.540000
2020-01-25,SOKUHO 2020.01.25.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.25.pdf: Rainbow Market, Taipei 101, Temporary Stall",2026-03-30 12:09:18.876666
2020-01-26,SOKUHO 2020.01.26.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.26.pdf: Rainbow Market, Taipei 101, Temporary Stall",2026-03-30 12:09:19.236666
2020-01-27,SOKUHO 2020.01.27.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.27.pdf: Rainbow Market, Taipei 101, Temporary Stall",2026-03-30 12:09:19.590000
2020-01-28,SOKUHO 2020.01.28.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.28.pdf: Rainbow Market, Taipei 101, Temporary Stall",2026-03-30 12:09:19.960000
2020-01-29,SOKUHO 2020.01.29.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.29.pdf: Rainbow Market, Taipei 101, Temporary Stall",2026-03-30 12:09:20.303333
2020-01-30,SOKUHO 2020.01.30.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.30.pdf: Rainbow Market, Taipei 101, Temporary Stall",2026-03-30 12:09:20.646666
2020-01-31,SOKUHO 2020.01.31.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.31.pdf: Rainbow Market, Taipei 101, Temporary Stall",2026-03-30 12:09:21.066666
2021-01-14,SOKUHO 2021.01.14.pdf,SKIPPED,"Unknown stores in SOKUHO 2021.01.14.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:11:36.646666
2021-01-28,SOKUHO 2021.01.28.pdf,SKIPPED,"Unknown stores in SOKUHO 2021.01.28.pdf: Kaohsiung Zuoying, Temporary Stall",2026-03-30 12:11:42.166666
2021-01-29,SOKUHO 2021.01.29.pdf,SKIPPED,"Unknown stores in SOKUHO 2021.01.29.pdf: Kaohsiung Zuoying, Temporary Stall",2026-03-30 12:11:42.520000
2021-01-30,SOKUHO 2021.01.30.pdf,SKIPPED,"Unknown stores in SOKUHO 2021.01.30.pdf: Kaohsiung Zuoying, Temporary Stall",2026-03-30 12:11:42.883333
2021-01-31,SOKUHO 2021.01.31.pdf,SKIPPED,"Unknown stores in SOKUHO 2021.01.31.pdf: Kaohsiung Zuoying, Temporary Stall",2026-03-30 12:11:43.260000
2021-02-01,SOKUHO 2021.02.01.pdf,SKIPPED,"Unknown stores in SOKUHO 2021.02.01.pdf: Kaohsiung Zuoying, Temporary Stall",2026-03-30 12:11:43.646666
2021-02-02,SOKUHO 2021.02.02.pdf,SKIPPED,"Unknown stores in SOKUHO 2021.02.02.pdf: Kaohsiung Zuoying, Temporary Stall",2026-03-30 12:11:43.986666
2021-02-03,SOKUHO 2021.02.03.pdf,SKIPPED,"Unknown stores in SOKUHO 2021.02.03.pdf: Kaohsiung Zuoying, Temporary Stall",2026-03-30 12:11:44.340000
2021-02-04,SOKUHO 2021.02.04.pdf,SKIPPED,"Unknown stores in SOKUHO 2021.02.04.pdf: Kaohsiung Zuoying, Temporary Stall",2026-03-30 12:11:44.710000
2021-02-05,SOKUHO 2021.02.05.pdf,SKIPPED,"Unknown stores in SOKUHO 2021.02.05.pdf: Kaohsiung Zuoying, Temporary Stall",2026-03-30 12:11:45.063333
2021-02-06,SOKUHO 2021.02.06.pdf,SKIPPED,"Unknown stores in SOKUHO 2021.02.06.pdf: Kaohsiung Zuoying, Temporary Stall",2026-03-30 12:11:45.396666
2021-02-07,SOKUHO 2021.02.07.pdf,SKIPPED,"Unknown stores in SOKUHO 2021.02.07.pdf: Kaohsiung Zuoying, Temporary Stall",2026-03-30 12:11:45.750000
2021-02-08,SOKUHO 2021.02.08.pdf,SKIPPED,"Unknown stores in SOKUHO 2021.02.08.pdf: Kaohsiung Zuoying, Temporary Stall",2026-03-30 12:11:46.106666
2021-02-09,SOKUHO 2021.02.09.pdf,SKIPPED,"Unknown stores in SOKUHO 2021.02.09.pdf: Kaohsiung Zuoying, Temporary Stall",2026-03-30 12:11:46.490000
2021-02-10,SOKUHO 2021.02.10.pdf,SKIPPED,"Unknown stores in SOKUHO 2021.02.10.pdf: Kaohsiung Zuoying, Temporary Stall",2026-03-30 12:11:46.830000
